Column1,mlrassoarea,projectname,im_asym,im_natsym,im_poly,im_acres,im_popu,impact_score,Recommended
51,11-WAV,"EVAL - MLRA 108C - Ackmore silt loam, 2 to 5 percent slopes, occasionally flooded",0.71,0.01,0,0.01,1.16,1.89,x
28,11-WAV,"EVAL - MLRA 104 - Racine loam, 5 to 9 percent slopes",1.07,0.01,0.01,0,0.75,1.84,x
61,11-WAV,"EVAL - MLRA 108C - Lawson silt loam, channeled, 0 to 2 percent slopes",0.71,0.01,0,0,1.02,1.75,x
82,11-WAV,"EVAL - MLRA 108C - Vesser silt loam, 2 to 5 percent slopes",1.07,0.01,0.01,0.01,0.51,1.6,x
54,11-WAV,"EVAL - MLRA 108C - Ambraw-Perks-Lawson complex, frequently flooded, 0 to 2 percent slopes",0.36,0,0,0.01,1.05,1.43,x
58,11-WAV,"EVAL - MLRA 108C - Colo-Zook complex, 0 to 5 percent slopes",1.07,0.01,0.01,0.02,0.31,1.41,x
40,11-WAV,"EVAL - MLRA 104 - Spillville-Hanlon-Coland complex, channeled, 0 to 3 percent slopes",1.07,0.01,0.01,0.01,0.27,1.37,x
12,11-WAV,"EVAL - MLRA 104 - Cresco loam, 5 to 9 percent slopes, moderately eroded",1.07,0.01,0.01,0.01,0.26,1.36,x
31,11-WAV,"EVAL - MLRA 104 - Racine silt loam, 1 to 6 percent slopes",0.36,0,0.02,0.02,0.93,1.32,x
44,11-WAV,EVAL - MLRA 104 - Spillville silt loam,0.36,0,0,0,0.93,1.3,x
65,11-WAV,"EVAL - MLRA 108C - Nodaway-Arenzville silt loams, 1 to 4 percent slopes",0.36,0,0.01,0.02,0.89,1.27,x
55,11-WAV,"EVAL - MLRA 108C - Arenzville silt loam, 0 to 2 percent slopes",0.36,0,0,0,0.89,1.26,x
52,11-WAV,"EVAL - MLRA 108C - Amana-Lawson-Perks complex, 0 to 2 percent slopes",0.36,0,0,0,0.89,1.25,x
38,11-WAV,"EVAL - MLRA 104 - Spillville-Coland, channeled-Aquolls, ponded, complex, 0 to 2 percent slopes, frequently flooded",0.36,0,0,0.03,0.82,1.21,x
9,11-WAV,"EVAL - MLRA 104 - Coland, occasionally flooded-Urban land complex, 0 to 2 percent slopes",0.36,0,0,0,0.82,1.18,x
17,11-WAV,"EVAL - MLRA 104 - Protivin-Urban land complex, 1 to 3 percent slopes",0.36,0,0,0,0.82,1.18,x
46,11-WAV,"EVAL - MLRA 104 - Spillville, occasionally flooded-Coland, occasionally flooded-Urban land complex, 0 to 2% slopes",0.36,0,0,0,0.82,1.18,x
1,11-WAV,"EVAL - MLRA 104 - Bassett-Racine complex, 12 to 18 percent slopes, eroded",0.71,0.01,0.01,0.01,0.41,1.15,x
2,11-WAV,"EVAL - MLRA 104 - Bassett-Racine complex, 18 to 25 percent slopes",0.71,0.01,0.01,0,0.41,1.14,x
75,11-WAV,"EVAL - MLRA 108C - Radford silt loam, 0 to 2 percent slopes",0.71,0.01,0,0.01,0.4,1.13,x
